rank_from_top,rank_from_bottom,tag,n_questions,acceptance_rate,acceptance_ci_low,acceptance_ci_high,answer_rate,positive_answer_rate,acceptance_given_answered,acceptance_per_answer,self_accepted_share,closed_in_window_share,duplicate_share,median_days_to_first_answer,answers_per_question,distinct_answerers_per_100_questions,window_capture_ratio,first_tag_share,acceptance_rate_as_first_tag,acceptance_rate_as_later_tag,acceptance_rate_lifetime
76,374,swiftui,5870,0.3889,0.3765,0.4015,0.6581,0.356,0.591,0.4724,0.0999,0.0411,0.0305,0,0.82,19.6,0.9617,0.2213,0.3657,0.3955,0.4044
77,392,snowflake-cloud-data-platform,2333,0.3935,0.3739,0.4135,0.8491,0.5032,0.4634,0.3183,0.0403,0.0056,0.0026,0,1.24,20.5,0.9623,0.3982,0.3638,0.4131,0.4089
78,361,json,16329,0.3801,0.3727,0.3876,0.7035,0.3655,0.5403,0.3975,0.0794,0.0579,0.0439,0,0.96,54.2,0.9598,0.3267,0.3573,0.3912,0.396
79,382,android-jetpack-compose,2798,0.3881,0.3702,0.4063,0.6455,0.3885,0.6013,0.4945,0.1151,0.0236,0.0207,0,0.78,24.5,0.9211,0.1215,0.3794,0.3893,0.4214
80,384,django-views,2482,0.3888,0.3698,0.4081,0.699,0.3308,0.5562,0.4431,0.0933,0.0085,0.0081,0,0.88,37.7,0.9583,0.0165,0.1951,0.3921,0.4057
81,400,merge,1342,0.3949,0.3691,0.4214,0.728,0.4158,0.5425,0.365,0.034,0.0648,0.0559,0,1.08,65.7,0.9761,0.0477,0.2344,0.403,0.4046
82,388,ansible,2115,0.3891,0.3686,0.4101,0.7305,0.46,0.5327,0.4291,0.1094,0.027,0.0113,0,0.91,23.5,0.9648,0.5853,0.4071,0.3637,0.4033
83,373,class,3450,0.3835,0.3674,0.3998,0.7067,0.4122,0.5427,0.3947,0.0506,0.127,0.0962,0,0.97,66.6,0.9657,0.047,0.2469,0.3902,0.3971
84,385,plotly,2033,0.3881,0.3671,0.4095,0.6262,0.3704,0.6198,0.556,0.076,0.0123,0.0089,0,0.7,24.7,0.9575,0.0861,0.2857,0.3977,0.4053
85,357,c,14200,0.3746,0.3667,0.3826,0.7249,0.4954,0.5167,0.3485,0.0645,0.1037,0.0692,0,1.07,26.8,0.961,0.8323,0.3727,0.3839,0.3898
86,378,async-await,2460,0.3846,0.3655,0.4039,0.6951,0.4378,0.5532,0.3935,0.0729,0.1142,0.1028,0,0.98,64.3,0.9723,0.0203,0.24,0.3876,0.3955
87,389,data-structures,1682,0.3882,0.3652,0.4117,0.7378,0.4566,0.5262,0.3522,0.0337,0.082,0.0535,0,1.1,68.7,0.9717,0.0898,0.298,0.3971,0.3995
88,395,inheritance,1263,0.3895,0.363,0.4167,0.7142,0.4576,0.5455,0.3961,0.0854,0.1077,0.0847,0,0.98,71.2,0.9666,0.0356,0.4222,0.3883,0.403
89,387,indexing,1619,0.386,0.3626,0.41,0.7122,0.4219,0.5421,0.3692,0.0448,0.0488,0.0389,0,1.05,69.8,0.9527,0.0587,0.2842,0.3924,0.4052
90,393,batch-file,1318,0.3885,0.3625,0.4151,0.7458,0.3612,0.5209,0.3765,0.0996,0.1184,0.0584,0,1.03,32.8,0.9697,0.4552,0.3667,0.4067,0.4006
91,360,go,5973,0.3742,0.362,0.3865,0.6903,0.4691,0.5421,0.4372,0.1387,0.0832,0.0578,0,0.86,35.7,0.9503,0.6576,0.3786,0.3658,0.3938
92,379,matrix,1763,0.3823,0.3599,0.4052,0.6875,0.4186,0.5561,0.3755,0.0415,0.0567,0.0414,0,1.02,60.1,0.9615,0.1134,0.25,0.3992,0.3976
93,356,powershell,7900,0.3703,0.3597,0.381,0.6728,0.3842,0.5503,0.4368,0.0968,0.0443,0.0353,0,0.85,23.7,0.96,0.6651,0.3721,0.3666,0.3857
94,368,google-bigquery,2822,0.3767,0.359,0.3947,0.7289,0.4465,0.5168,0.3987,0.0715,0.023,0.0181,0,0.94,27.2,0.9611,0.2913,0.3102,0.404,0.3919
95,396,select,1050,0.3876,0.3586,0.4174,0.7076,0.3733,0.5478,0.3944,0.059,0.0476,0.041,0,0.98,71.0,0.9737,0.0762,0.1375,0.4082,0.3981
96,399,scrapy,943,0.3892,0.3586,0.4207,0.6734,0.3043,0.578,0.488,0.0845,0.017,0.0095,0,0.8,32.9,0.9683,0.0901,0.3294,0.3951,0.4019
97,367,flutter-layout,2860,0.3755,0.358,0.3934,0.7811,0.3622,0.4808,0.3117,0.0736,0.0105,0.007,0,1.2,47.9,0.9658,0.0133,0.1579,0.3785,0.3888
98,371,apache-spark-sql,2186,0.3774,0.3573,0.3979,0.6784,0.3651,0.5563,0.4354,0.0897,0.0151,0.0128,0,0.87,26.5,0.9694,0.0334,0.3151,0.3796,0.3893
99,362,shell,3699,0.372,0.3566,0.3877,0.7094,0.4269,0.5244,0.3461,0.0778,0.1122,0.0827,0,1.07,39.5,0.967,0.2211,0.3178,0.3874,0.3847
100,370,excel-formula,2109,0.3765,0.356,0.3974,0.7435,0.4457,0.5064,0.3659,0.039,0.0375,0.028,0,1.03,25.7,0.9742,0.0944,0.2663,0.388,0.3864
101,363,terraform,3177,0.3711,0.3545,0.3881,0.7044,0.4101,0.5268,0.4602,0.1408,0.0054,0.0038,0,0.81,28.5,0.957,0.3705,0.367,0.3735,0.3878
102,398,opengl,895,0.3855,0.3541,0.4178,0.6145,0.4056,0.6273,0.5779,0.1449,0.0905,0.0603,0,0.67,24.1,0.9664,0.2346,0.3952,0.3825,0.3989
103,369,math,1924,0.3753,0.3539,0.3971,0.7225,0.433,0.5194,0.3654,0.054,0.0811,0.0483,0,1.03,68.2,0.9627,0.1435,0.3261,0.3835,0.3898
104,376,django-templates,1443,0.3784,0.3537,0.4037,0.684,0.3105,0.5532,0.4403,0.1044,0.0076,0.0076,0,0.86,43.5,0.9647,0.0201,0.1724,0.3826,0.3922
105,394,arraylist,953,0.3841,0.3537,0.4153,0.7744,0.4323,0.4959,0.3053,0.0273,0.1018,0.0703,0,1.26,93.1,0.9606,0.0199,0.2105,0.3876,0.3998
106,390,jsx,1017,0.3825,0.3531,0.4128,0.7257,0.3579,0.5271,0.3701,0.0823,0.0403,0.0295,0,1.03,84.2,0.9677,0.0108,0.2727,0.3837,0.3953
107,386,promise,1055,0.3801,0.3513,0.4098,0.6815,0.4123,0.5577,0.3962,0.0474,0.1877,0.1735,0,0.96,62.8,0.978,0.0237,0.12,0.3864,0.3886
108,337,c++,28449,0.3562,0.3507,0.3618,0.6558,0.4508,0.5432,0.4031,0.0953,0.1297,0.0933,0,0.88,22.2,0.9628,0.9586,0.3617,0.2285,0.37
109,350,oracle,5871,0.3628,0.3506,0.3752,0.7592,0.4405,0.4779,0.3338,0.0568,0.0593,0.0441,0,1.09,21.5,0.9634,0.3756,0.3039,0.3983,0.3766
110,365,oop,2271,0.3699,0.3503,0.3899,0.7292,0.4456,0.5072,0.3625,0.044,0.1312,0.0956,0,1.02,69.5,0.9655,0.0537,0.418,0.3671,0.3831
111,381,use-effect,1160,0.3776,0.3501,0.4058,0.7483,0.3974,0.5046,0.343,0.0685,0.0422,0.0379,0,1.1,80.9,0.9733,0.006,0.0,0.3799,0.3879
112,349,google-cloud-firestore,5231,0.3588,0.3459,0.3719,0.6928,0.3984,0.5179,0.4341,0.1215,0.0675,0.057,0,0.83,33.2,0.9675,0.0327,0.3684,0.3585,0.3709
113,377,plsql,1063,0.3744,0.3458,0.4039,0.8006,0.4976,0.4677,0.3416,0.0402,0.0461,0.032,0,1.1,24.9,0.9637,0.0611,0.2154,0.3848,0.3885
114,372,chart.js,1161,0.3704,0.3431,0.3985,0.6425,0.2825,0.5764,0.5012,0.1116,0.0233,0.0181,0,0.74,32.0,0.9773,0.1447,0.3214,0.3787,0.379
115,328,css,31364,0.3482,0.343,0.3535,0.7141,0.349,0.4876,0.3263,0.0672,0.0862,0.0699,0,1.07,43.3,0.9622,0.24,0.3048,0.3619,0.3619
116,327,typescript,26729,0.3475,0.3418,0.3532,0.6367,0.3499,0.5457,0.4187,0.108,0.0387,0.0331,0,0.83,35.3,0.9536,0.3573,0.3671,0.3366,0.3644
117,314,python,180317,0.3435,0.3414,0.3457,0.6597,0.3504,0.5207,0.3715,0.0788,0.0651,0.0517,0,0.92,21.6,0.9587,0.9921,0.3444,0.2351,0.3583
118,341,csv,4736,0.3535,0.34,0.3672,0.6957,0.3416,0.508,0.3679,0.0693,0.0405,0.0302,0,0.96,59.6,0.9648,0.1005,0.2752,0.3622,0.3663
119,346,django-models,3643,0.3552,0.3398,0.3709,0.6794,0.3283,0.5228,0.4185,0.092,0.0115,0.0093,0,0.85,33.7,0.9473,0.0299,0.156,0.3613,0.375
120,334,sql-server,9975,0.3489,0.3396,0.3583,0.7055,0.4083,0.4945,0.3543,0.0764,0.0769,0.0554,0,0.98,30.2,0.9619,0.3606,0.2669,0.3951,0.3627
121,358,parsing,1786,0.3611,0.3392,0.3837,0.682,0.3802,0.5296,0.3943,0.0651,0.0543,0.0381,0,0.92,64.4,0.9613,0.1551,0.3935,0.3552,0.3757
122,355,discord.py,1952,0.3591,0.3381,0.3807,0.7971,0.3432,0.4505,0.3678,0.0884,0.0415,0.0318,0,0.98,44.5,0.9473,0.0825,0.2981,0.3646,0.3791
123,359,eloquent,1508,0.3614,0.3375,0.386,0.7401,0.3422,0.4884,0.3411,0.1119,0.0199,0.0146,0,1.06,61.9,0.9578,0.0345,0.1538,0.3688,0.3773
124,317,python-3.x,24632,0.3424,0.3365,0.3484,0.6382,0.3352,0.5365,0.3866,0.0902,0.0598,0.0495,0,0.89,38.5,0.9611,0.4169,0.2883,0.3811,0.3562
125,322,dart,15304,0.3438,0.3363,0.3514,0.7052,0.3329,0.4875,0.3412,0.1038,0.0201,0.0153,0,1.01,27.8,0.9519,0.0453,0.4395,0.3393,0.3612
126,352,variables,2150,0.3563,0.3363,0.3768,0.7312,0.407,0.4873,0.3295,0.0483,0.1237,0.1047,0,1.08,83.0,0.9623,0.1163,0.312,0.3621,0.3702
127,340,wpf,3053,0.3498,0.3331,0.3669,0.623,0.3033,0.5615,0.4794,0.1573,0.0747,0.0635,0,0.73,30.6,0.9674,0.2381,0.3398,0.353,0.3616
128,354,bootstrap-5,1622,0.3545,0.3316,0.3781,0.6856,0.2879,0.5171,0.3758,0.0904,0.0444,0.0401,0,0.94,64.6,0.9536,0.0604,0.3367,0.3556,0.3718
129,330,matplotlib,5791,0.3435,0.3313,0.3558,0.5821,0.3112,0.59,0.4945,0.084,0.0746,0.068,0,0.69,29.7,0.9712,0.0706,0.22,0.3528,0.3537
130,366,asp.net-core-mvc,918,0.3617,0.3312,0.3933,0.719,0.3105,0.503,0.4064,0.1476,0.0283,0.0207,0,0.89,45.5,0.9459,0.1285,0.3559,0.3625,0.3824
131,305,html,44846,0.3347,0.3303,0.3391,0.6876,0.3266,0.4867,0.3298,0.0685,0.0811,0.0647,0,1.01,41.5,0.9637,0.4318,0.3378,0.3323,0.3473
132,364,methods,974,0.3583,0.3288,0.3889,0.7279,0.3819,0.4922,0.3379,0.0458,0.1232,0.0945,0,1.06,88.7,0.9614,0.0329,0.1875,0.3641,0.3727
133,353,while-loop,1437,0.3521,0.3279,0.3772,0.7808,0.405,0.451,0.274,0.0514,0.1218,0.0835,0,1.29,103.0,0.9825,0.0327,0.2553,0.3554,0.3584
134,290,javascript,123941,0.326,0.3234,0.3286,0.6425,0.3275,0.5074,0.3528,0.0899,0.0744,0.0608,0,0.92,29.4,0.9584,1.0,0.326,0.0,0.3402
135,332,vuejs3,3134,0.3395,0.3231,0.3563,0.6362,0.3389,0.5336,0.4348,0.1645,0.0128,0.0096,0,0.78,35.8,0.9466,0.1098,0.2471,0.3509,0.3586
136,329,discord,3173,0.3391,0.3228,0.3558,0.7381,0.2991,0.4594,0.3718,0.0855,0.0328,0.0208,0,0.91,44.7,0.9497,0.1327,0.2755,0.3488,0.3571
137,326,ruby,3788,0.3376,0.3228,0.3529,0.6819,0.3801,0.4952,0.3712,0.1243,0.028,0.0164,0,0.91,33.4,0.9404,0.3714,0.3504,0.3301,0.359
138,315,xml,5313,0.3337,0.3212,0.3465,0.6384,0.3104,0.5227,0.4147,0.0857,0.0476,0.0399,0,0.8,38.0,0.9543,0.3299,0.3674,0.3171,0.3497
139,348,time,1319,0.3457,0.3205,0.3718,0.696,0.3791,0.4967,0.3651,0.0592,0.0705,0.0546,0,0.95,75.9,0.958,0.0895,0.161,0.3639,0.3609
140,347,twitter-bootstrap,1242,0.3446,0.3187,0.3715,0.6731,0.3068,0.512,0.3808,0.1168,0.0419,0.0395,0,0.9,65.3,0.9705,0.1329,0.2727,0.3556,0.3551
141,351,redux-toolkit,1068,0.3464,0.3185,0.3755,0.6442,0.3118,0.5378,0.4534,0.1081,0.0075,0.0075,0,0.76,38.2,0.9463,0.029,0.4516,0.3433,0.3661
142,301,kotlin,12815,0.3259,0.3179,0.3341,0.6138,0.322,0.531,0.4085,0.1338,0.0279,0.0229,0,0.8,28.9,0.944,0.2069,0.4095,0.3041,0.3453
143,333,plot,2234,0.3371,0.3178,0.3569,0.5868,0.3277,0.5744,0.4842,0.0651,0.0425,0.0367,0,0.7,37.7,0.9666,0.0882,0.198,0.3505,0.3487
