ranking,rank,tag,n_questions,acceptance_rate,acceptance_ci_low,acceptance_ci_high,answer_rate,positive_answer_rate,acceptance_given_answered,acceptance_per_answer,self_accepted_share,closed_in_window_share,duplicate_share,median_days_to_first_answer,answers_per_question,distinct_answerers_per_100_questions,window_capture_ratio
naive_lowest,3,dms,35,0.0,0.0,0.0989,0.3143,0.1143,0.0,0.0,,0.0,0.0,1,0.31,25.7,
naive_lowest,4,azure-devops-migration-tools,33,0.0,0.0,0.1043,0.3636,0.0606,0.0,0.0,,0.0,0.0,4,0.36,30.3,
naive_lowest,5,amazonsellercentral,32,0.0,0.0,0.1072,0.25,0.0313,0.0,0.0,,0.0,0.0,1,0.25,21.9,0.0
naive_lowest,6,apple-wallet,32,0.0,0.0,0.1072,0.125,0.0,0.0,0.0,,0.0,0.0,1,0.13,9.4,0.0
naive_lowest,7,random-effects,32,0.0,0.0,0.1072,0.2813,0.1563,0.0,0.0,,0.0,0.0,0,0.41,28.1,
naive_lowest,8,android-productflavors,31,0.0,0.0,0.1103,0.1935,0.0323,0.0,0.0,,0.0,0.0,0,0.23,22.6,0.0
naive_lowest,9,vcenter,31,0.0,0.0,0.1103,0.3871,0.0,0.0,0.0,,0.0,0.0,0,0.45,38.7,
naive_lowest,10,xhtml2pdf,30,0.0,0.0,0.1135,0.2667,0.0667,0.0,0.0,,0.0,0.0,0,0.27,26.7,
naive_lowest,11,apple-appclips,28,0.0,0.0,0.1206,0.1429,0.0,0.0,0.0,,0.0,0.0,0,0.14,14.3,0.0
naive_lowest,12,apriori,28,0.0,0.0,0.1206,0.2143,0.0357,0.0,0.0,,0.0,0.0,0,0.25,25.0,
naive_lowest,13,storybook-addon,28,0.0,0.0,0.1206,0.1786,0.0,0.0,0.0,,0.0,0.0,12,0.21,21.4,
naive_lowest,14,android-push-notification,27,0.0,0.0,0.1246,0.1481,0.037,0.0,0.0,,0.0,0.0,0,0.19,18.5,
naive_lowest,15,drupal-views,27,0.0,0.0,0.1246,0.3333,0.037,0.0,0.0,,0.0,0.0,1,0.33,33.3,
